team,attendance,Attend/G,Est. Payroll,Season
Anaheim Angels,2066982.0,25518.0,52664167.0,2000
Arizona Diamondbacks,2942251.0,36324.0,81027833.0,2000
Atlanta Braves,3234304.0,39930.0,84737836.0,2000
Baltimore Orioles,3297031.0,40704.0,82347435.0,2000
Boston Red Sox,2585895.0,31925.0,79975333.0,2000
Chicago Cubs,2789511.0,34438.0,60539333.0,2000
Chicago White Sox,1947799.0,24047.0,31743500.0,2000
Cincinnati Reds,2577371.0,31431.0,46867200.0,2000
Cleveland Indians,3456278.0,42670.0,76972271.0,2000
Colorado Rockies,3295129.0,40681.0,61111190.0,2000
Detroit Tigers,2438617.0,30106.0,59645167.0,2000
Florida Marlins,1218326.0,15041.0,20347000.0,2000
Houston Astros,3056139.0,37730.0,51289111.0,2000
Kansas City Royals,1564847.0,19319.0,24903000.0,2000
Los Angeles Dodgers,2880242.0,35559.0,88124286.0,2000
Milwaukee Brewers,1573621.0,19427.0,37305333.0,2000
Minnesota Twins,1000760.0,12355.0,17529500.0,2000
Montreal Expos,926272.0,11435.0,32994333.0,2000
New York Mets,2820530.0,34821.0,79509776.0,2000
New York Yankees,3055435.0,38193.0,93113260.0,2000
Oakland Athletics,1603744.0,19799.0,33172333.0,2000
Philadelphia Phillies,1612769.0,19911.0,47513000.0,2000
Pittsburgh Pirates,1748908.0,21591.0,31328334.0,2000
San Diego Padres,2352443.0,29043.0,55021000.0,2000
San Francisco Giants,3318800.0,40973.0,53737826.0,2000
Seattle Mariners,2914624.0,35983.0,60495000.0,2000
St. Louis Cardinals,3336493.0,41191.0,61653863.0,2000
Tampa Bay Devil Rays,1449673.0,18121.0,63265129.0,2000
Texas Rangers,2588401.0,31956.0,70795921.0,2000
Toronto Blue Jays,1705712.0,21058.0,46038332.0,2000
Anaheim Angels,2000919.0,24703.0,47735167.0,2001
Arizona Diamondbacks,2736451.0,33783.0,85082999.0,2001
Atlanta Braves,2823530.0,34858.0,91936166.0,2001
Baltimore Orioles,3094841.0,38686.0,74279540.0,2001
Boston Red Sox,2625333.0,32412.0,110035833.0,2001
Chicago Cubs,2779465.0,34314.0,64715833.0,2001
Chicago White Sox,1766172.0,21805.0,65653667.0,2001
Cincinnati Reds,1879757.0,23207.0,48986000.0,2001
Cleveland Indians,3175523.0,39694.0,93360001.0,2001
Colorado Rockies,3166821.0,39097.0,71541334.0,2001
Detroit Tigers,1921305.0,23720.0,53416167.0,2001
Florida Marlins,1261226.0,15765.0,35762500.0,2001
Houston Astros,2904277.0,35855.0,60612667.0,2001
Kansas City Royals,1536371.0,18968.0,35422500.0,2001
Los Angeles Dodgers,3017143.0,37249.0,109105953.0,2001
Milwaukee Brewers,2811041.0,34704.0,43886833.0,2001
Minnesota Twins,1782929.0,22011.0,24130000.0,2001
Montreal Expos,642745.0,7935.0,35159500.0,2001
New York Mets,2658330.0,32819.0,93174428.0,2001
New York Yankees,3264907.0,40811.0,112787143.0,2001
Oakland Athletics,2133277.0,26337.0,33810750.0,2001
Philadelphia Phillies,1782054.0,22001.0,41663833.0,2001
Pittsburgh Pirates,2464870.0,30430.0,57760833.0,2001
San Diego Padres,2378128.0,29360.0,39182833.0,2001
San Francisco Giants,3311958.0,40888.0,63280167.0,2001
Seattle Mariners,3507326.0,43300.0,74720834.0,2001
St. Louis Cardinals,3109578.0,37922.0,79373333.0,2001
Tampa Bay Devil Rays,1298365.0,16029.0,56980000.0,2001
Texas Rangers,2831021.0,34525.0,88633500.0,2001
Toronto Blue Jays,1915438.0,23359.0,76895999.0,2001
Anaheim Angels,2305547.0,28464.0,61721667.0,2002
Arizona Diamondbacks,3198977.0,39494.0,102819999.0,2002
Atlanta Braves,2603484.0,32142.0,93470367.0,2002
Baltimore Orioles,2682439.0,33117.0,64493487.0,2002
Boston Red Sox,2650862.0,32727.0,108366060.0,2002
Chicago Cubs,2693096.0,33248.0,75690833.0,2002
Chicago White Sox,1676911.0,20703.0,57052833.0,2002
Cincinnati Reds,1855787.0,22911.0,45050390.0,2002
Cleveland Indians,2616940.0,32308.0,78909449.0,2002
Colorado Rockies,2737838.0,33800.0,56851043.0,2002
Detroit Tigers,1503623.0,18795.0,55048000.0,2002
Florida Marlins,813118.0,10038.0,41979917.0,2002
Houston Astros,2517357.0,31078.0,63448417.0,2002
Kansas City Royals,1323036.0,16334.0,47257000.0,2002
Los Angeles Dodgers,3131255.0,38657.0,94850953.0,2002
Milwaukee Brewers,1969153.0,24311.0,50287833.0,2002
Minnesota Twins,1924473.0,23759.0,40425000.0,2002
Montreal Expos,812045.0,10025.0,38670500.0,2002
New York Mets,2804838.0,34628.0,94633593.0,2002
New York Yankees,3465807.0,43323.0,125928583.0,2002
Oakland Athletics,2169811.0,26788.0,40004167.0,2002
Philadelphia Phillies,1618467.0,20231.0,57954999.0,2002
Pittsburgh Pirates,1784988.0,22312.0,42323599.0,2002
San Diego Padres,2220601.0,27415.0,41425000.0,2002
San Francisco Giants,3253203.0,40163.0,78299835.0,2002
Seattle Mariners,3542938.0,43740.0,80282668.0,2002
St. Louis Cardinals,3011756.0,37182.0,74660875.0,2002
Tampa Bay Devil Rays,1065742.0,13157.0,34380000.0,2002
Texas Rangers,2352397.0,29042.0,105726122.0,2002
Toronto Blue Jays,1637900.0,20221.0,76864333.0,2002
Anaheim Angels,3061094.0,37330.0,79031667.0,2003
Arizona Diamondbacks,2805542.0,34636.0,80657000.0,2003
Atlanta Braves,2401084.0,29643.0,106243667.0,2003
Baltimore Orioles,2454523.0,30303.0,73877500.0,2003
Boston Red Sox,2724165.0,33632.0,99946500.0,2003
Chicago Cubs,2962630.0,36576.0,79868333.0,2003
Chicago White Sox,1939524.0,23945.0,51010000.0,2003
Cincinnati Reds,2355259.0,29077.0,59355667.0,2003
Cleveland Indians,1730002.0,21358.0,48584834.0,2003
Colorado Rockies,2334085.0,28816.0,67179667.0,2003
Detroit Tigers,1368245.0,16892.0,49168000.0,2003
Florida Marlins,1303215.0,16089.0,49450000.0,2003
Houston Astros,2454241.0,30299.0,71040000.0,2003
Kansas City Royals,1779895.0,22249.0,40518000.0,2003
Los Angeles Dodgers,3138626.0,38748.0,105872620.0,2003
Milwaukee Brewers,1700354.0,20992.0,40627000.0,2003
Minnesota Twins,1946011.0,24025.0,55505000.0,2003
Montreal Expos,1025639.0,12662.0,51948500.0,2003
New York Mets,2140599.0,26757.0,117176429.0,2003
